[ 128, 273, 235, 216, 189, 155, 127, 38 ]
[ 55, 146, 113, 106, 104, 85, 40, 37 ]
[ 0, 64, 79, 0, 0, 19, 13, 43 ]
[ 0, 60, 119, 18, 6, 5, 11, 56 ]
[ 0, 194, 228, 26, 4, 0, 0, 64 ]
[ 0, 349, 619, 262, 93, 47, 1, 68 ]
[ 0, 31, 356, 381, 226, 260, 97, 57 ]
[ 0, 0, 109, 70, 24, 109, 34, 74 ]
[ 0, 0, 0, 0, 0, 0, 0, 87 ]
[ 2, 0, 7, 0, 0, 11, 2, 65 ]
[ 0, 0, 0, 0, 0, 0, 0, 30 ]
[ 0, 0, 0, 0, 0, 29, 7, 7 ]
[ 0, 0, 0, 0, 0, 18, 0, 2 ]
[ 0, 1, 0, 0, 0, 0, 0, 6 ]
[ 0, 33, 22, 0, 0, 0, 1, 0 ]
[ 0, 0, 2, 0, 0, 0, 0, 11 ]
[ 0, 0, 0, 0, 0, 0, 0, 28 ]
[ 0, 0, 0, 0, 0, 15, 5, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 12 ]
[ 0, 5, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 32, 57, 21, 0 ]
[ 0, 208, 17, 0, 0, 5, 0, 0 ]
[ 0, 8, 125, 5, 0, 0, 0, 0 ]
[ 0, 0, 276, 278, 22, 146, 79, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 11, 40, 3 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 3, 24, 0, 8, 62, 24, 0 ]
[ 1, 0, 4, 0, 13, 49, 0, 0 ]
[ 0, 27, 58, 12, 0, 0, 0, 0 ]
[ 0, 18, 111, 113, 20, 54, 13, 0 ]
[ 0, 0, 0, 14, 23, 22, 0, 0 ]
[ 13, 0, 0, 0, 0, 0, 0, 22 ]
[ 69, 20, 19, 15, 11, 30, 35, 83 ]
